genome_id,genome_name,label
573.20095,Klebsiella pneumoniae strain RCE05_kleb27,S
573.45959,Klebsiella pneumoniae K210269,R
573.72927,Klebsiella pneumoniae WYZHKP15,R
573.51829,Klebsiella pneumoniae HK1011,S
573.73593,Klebsiella pneumoniae KPN03,S
573.66554,Klebsiella pneumoniae 29109_2#213,R
573.12464,Klebsiella pneumoniae strain 39884,R
573.79288,Klebsiella pneumoniae CN-78-F,S
573.15316,Klebsiella pneumoniae strain TR221,R
573.44065,Klebsiella pneumoniae MRSN680172,S
573.17707,Klebsiella pneumoniae strain COL-Kpn66,R
573.44200,Klebsiella pneumoniae Previously collected from blood cultures (R) strain Previously collected from blood cultures (R),S
573.73073,Klebsiella pneumoniae 21-96,S
573.51816,Klebsiella pneumoniae HK1022,S
573.59064,Klebsiella pneumoniae KLP00011,R
573.50495,Klebsiella pneumoniae strain CMC01_K,S
573.55177,Klebsiella pneumoniae HU309,R
573.20491,Klebsiella pneumoniae strain EuSCAPE_ES141,S
573.13977,Klebsiella pneumoniae KPN232ec,R
573.31243,Klebsiella pneumoniae strain BA39824,S
573.14839,Klebsiella pneumoniae strain BIC-1,R
573.65554,Klebsiella pneumoniae HZ-CRKP-49,S
573.43228,Klebsiella pneumoniae strain ONE235,S
573.44373,Klebsiella pneumoniae KP9,R
573.20749,Klebsiella pneumoniae strain EuSCAPE_LU014,S
573.58377,Klebsiella pneumoniae 1775,R
573.27432,Klebsiella pneumoniae strain 195D9,S
573.44591,Klebsiella pneumoniae KP3202 CHD,R
573.73052,Klebsiella pneumoniae 23-IM5,R
573.14119,Klebsiella pneumoniae KPN397ec,R
573.14285,Klebsiella pneumoniae KPN618ec,R
573.15535,Klebsiella pneumoniae strain INF245,S
573.65577,Klebsiella pneumoniae HZ-CRKP-24,S
573.49046,Klebsiella pneumoniae RM2.15.T4,R
573.14416,Klebsiella pneumoniae KPN816ec,R
573.13095,Klebsiella pneumoniae KPN1087ec,R
573.35649,Klebsiella pneumoniae strain k16,R
573.14343,Klebsiella pneumoniae KPN717ec,R
573.78869,Klebsiella pneumoniae K60365,S
573.20278,Klebsiella pneumoniae strain 4300STDY6542365,S
573.59031,Klebsiella pneumoniae 20040580,S
573.27195,Klebsiella pneumoniae strain G407-2,R
573.46053,Klebsiella pneumoniae AHSWKP25,S
573.49606,Klebsiella pneumoniae Kp.097,S
573.14132,Klebsiella pneumoniae KPN412ec,R
573.65953,Klebsiella pneumoniae JBBDAFH-19-0115,S
573.14961,Klebsiella pneumoniae strain K4803,S
573.64579,Klebsiella pneumoniae CR-063,R
573.43387,Klebsiella pneumoniae strain BD-11,R
573.49670,Klebsiella pneumoniae bo999,R
573.13449,Klebsiella pneumoniae KPN1516ec,R
573.31707,Klebsiella pneumoniae strain SMKP03,R
573.44542,Klebsiella pneumoniae B17602,S
573.34018,Klebsiella pneumoniae strain UPMP1728,S
573.40393,Klebsiella pneumoniae strain MRSN516635,S
573.55287,Klebsiella pneumoniae HRS-HS12-bin-128,S
573.64707,Klebsiella pneumoniae SHS2dp,S
573.78709,Klebsiella pneumoniae 9702/22,R
573.49590,Klebsiella pneumoniae Kp.144,S
573.65527,Klebsiella pneumoniae 20200203_MGL-14_B1,R
573.51879,Klebsiella pneumoniae HSKP104,R
573.13496,Klebsiella pneumoniae KPN1568ec,R
573.49519,Klebsiella pneumoniae SP2866,S
573.46620,Klebsiella pneumoniae 373,R
573.42869,Klebsiella pneumoniae strain CT-04 strain not applicable,S
573.45977,Klebsiella pneumoniae K210037,R
573.78315,Klebsiella pneumoniae CRE301,S
573.21899,Klebsiella pneumoniae strain EuSCAPE_IT321,S
573.13273,Klebsiella pneumoniae KPN1309ec,R
573.44518,Klebsiella pneumoniae 1613015451,S
573.72832,Klebsiella pneumoniae S2022411,S
573.77971,Klebsiella pneumoniae E3H,S
573.53479,Klebsiella pneumoniae NR1246,S
573.73565,Klebsiella pneumoniae 3E8,S
573.48220,Klebsiella pneumoniae 234H9,S
573.21270,Klebsiella pneumoniae strain EuSCAPE_TR231,S
573.27674,Klebsiella pneumoniae strain 4928STDY7071145,S
573.24319,Klebsiella pneumoniae strain FH-2,R
573.29704,Klebsiella pneumoniae strain SRRSH93,R
573.18665,Klebsiella pneumoniae strain WCHKP015368,S
573.66001,Klebsiella pneumoniae JBCHAAB-19-0076,S
573.44193,Klebsiella pneumoniae Previously collected from blood cultures (R) strain Previously collected from blood cultures (R),R
573.77682,Klebsiella pneumoniae KAW1,S
573.40331,Klebsiella pneumoniae strain P30-75,S
573.53580,Klebsiella pneumoniae CRKP_35,S
573.68016,Klebsiella pneumoniae Kp199,R
573.54131,Klebsiella pneumoniae PK-555,S
573.78147,Klebsiella pneumoniae 257I7,S
573.66443,Klebsiella pneumoniae 27261_7#26,R
573.22385,Klebsiella pneumoniae strain CRK0145,R
573.44652,Klebsiella pneumoniae KP200731214,R
573.14928,Klebsiella pneumoniae strain L136,R
573.28674,Klebsiella pneumoniae strain CriePir99,R
573.69564,Klebsiella pneumoniae KP1903992,S
573.43170,Klebsiella pneumoniae strain Kp_HUCA_Bac_63,R
573.49419,Klebsiella pneumoniae MLY_72,R
573.66353,Klebsiella pneumoniae 26994_7#34,R
573.22574,Klebsiella pneumoniae strain sklx9343,S
573.49668,Klebsiella pneumoniae bat143,R
573.78807,Klebsiella pneumoniae NFYY338KPN,S
573.22512,Klebsiella pneumoniae strain CRK0094,S
573.78517,Klebsiella pneumoniae HD2505,S
573.20866,Klebsiella pneumoniae strain EuSCAPE_UK029,S
573.44726,Klebsiella pneumoniae 17B79,S
573.37700,Klebsiella pneumoniae strain 18070500523-3,S
573.52990,Klebsiella pneumoniae ST395,S
573.13794,Klebsiella pneumoniae KPN1947ec,S
573.56231,Klebsiella pneumoniae B50,R
573.21432,Klebsiella pneumoniae strain EuSCAPE_AT013,S
573.46668,Klebsiella pneumoniae MUGSI_139,R
