genome_id,genome_name,label
573.66043,Klebsiella pneumoniae JBDDAAJ-19-0110,S
573.49394,Klebsiella pneumoniae MRSN 31330,S
573.63385,Klebsiella pneumoniae T183,R
573.29567,Klebsiella pneumoniae strain LSH-KPN148,R
573.29096,Klebsiella pneumoniae strain 2018C01-046 strain not collected,S
573.67194,Klebsiella pneumoniae ERR7221167,S
573.13267,Klebsiella pneumoniae KPN129ec,R
573.40356,Klebsiella pneumoniae strain SCAID TST1-2021 (15/226) strain SCAID TST1-2021 (15/226) strain SCAID TST1-2021 (15/226),S
573.28655,Klebsiella pneumoniae strain CriePir183,S
573.13397,Klebsiella pneumoniae KPN1456ec,R
573.43291,Klebsiella pneumoniae strain KCJ3K674,R
573.52659,Klebsiella pneumoniae 126,R
573.13385,Klebsiella pneumoniae KPN1444ec,S
573.64976,Klebsiella pneumoniae TIBU2.1,S
573.21389,Klebsiella pneumoniae strain EuSCAPE_SK020,S
573.45083,Klebsiella pneumoniae DY1715,R
573.64816,Klebsiella pneumoniae Kp2092,R
573.68437,Klebsiella pneumoniae BAA-1705-1/4MIC-b,R
573.26212,Klebsiella pneumoniae strain 5012STDY7312571,S
573.33984,Klebsiella pneumoniae strain NMI7435_16,S
573.31028,Klebsiella pneumoniae strain D32,S
573.52385,Klebsiella pneumoniae HS102438,S
573.41327,Klebsiella pneumoniae strain Ecl_5.VN,R
573.31747,Klebsiella pneumoniae strain H2,S
573.14859,Klebsiella pneumoniae strain WCHKP8F5,R
573.13076,Klebsiella pneumoniae KPN1058ec,R
573.52892,Klebsiella pneumoniae kp331,S
573.14797,Klebsiella pneumoniae strain 28,R
573.66182,Klebsiella pneumoniae KP_NORM_BLD_2014_103973,S
573.65486,Klebsiella pneumoniae MGL_K-9,S
573.21676,Klebsiella pneumoniae strain EuSCAPE_IL068,S
573.22446,Klebsiella pneumoniae strain CRK0173,R
573.20780,Klebsiella pneumoniae strain EuSCAPE_RO047,S
573.58930,Klebsiella pneumoniae WH7,R
573.34126,Klebsiella pneumoniae strain ISMETT ST392 cl12,R
573.12524,Klebsiella pneumoniae strain 45705,R
573.31685,Klebsiella pneumoniae strain NMI722_16,S
573.13264,Klebsiella pneumoniae KPN1285ec,R
573.20586,Klebsiella pneumoniae strain EuSCAPE_GR105,R
573.56270,Klebsiella pneumoniae TUM6666,S
573.40432,Klebsiella pneumoniae strain MRSN19073,S
573.14292,Klebsiella pneumoniae KPN629ec,R
573.57346,Klebsiella pneumoniae KMB-1239,R
573.19888,Klebsiella pneumoniae strain BC-4224,R
573.65877,Klebsiella pneumoniae ERR2931022,S
573.46628,Klebsiella pneumoniae 361,S
573.14060,Klebsiella pneumoniae KPN327ec,R
573.46240,Klebsiella pneumoniae 2485STDY5438270,S
573.63436,Klebsiella pneumoniae 2497,S
573.20489,Klebsiella pneumoniae strain EuSCAPE_ES142,S
573.68028,Klebsiella pneumoniae CDK0501,R
573.49458,Klebsiella pneumoniae 21073164,S
573.26242,Klebsiella pneumoniae strain 5012STDY7626522,S
573.43441,Klebsiella pneumoniae strain 53334,S
573.63075,Klebsiella pneumoniae N5_247_007G1_dasN5_247_007G1_abawaca.3,S
