genome_id,genome_name,label
573.64479,Klebsiella pneumoniae KP045,S
573.32313,Klebsiella pneumoniae strain RHBSTW-00184,S
573.38771,Klebsiella pneumoniae strain 20180208,S
573.22505,Klebsiella pneumoniae strain CRK0080,S
573.26145,Klebsiella pneumoniae strain 5012STDY7312583,S
573.20427,Klebsiella pneumoniae strain ID_47 strain not applicable,S
573.64504,Klebsiella pneumoniae KP3594,S
573.66610,Klebsiella pneumoniae KP_NORM_BLD_112927,S
573.23142,Klebsiella pneumoniae strain hvKP1,S
573.78613,Klebsiella pneumoniae LA64,S
573.20195,Klebsiella pneumoniae strain 4300STDY6636954,S
573.14090,Klebsiella pneumoniae KPN367ec,R
573.65153,Klebsiella pneumoniae 4974967,S
573.63303,Klebsiella pneumoniae KLEB-CRE-TBH-0028,S
573.42298,Klebsiella pneumoniae strain ONE218,S
573.17923,Klebsiella pneumoniae strain PMM475,S
573.21390,Klebsiella pneumoniae strain EuSCAPE_SK033,S
573.29842,Klebsiella pneumoniae strain ZKP184,S
573.72910,Klebsiella pneumoniae 17837,R
573.43803,Klebsiella pneumoniae Kp_HUCA_Bac_21,S
573.15033,Klebsiella pneumoniae strain 21,R
573.13313,Klebsiella pneumoniae KPN1354ec,S
573.58480,Klebsiella pneumoniae APCOLR218,S
573.53824,Klebsiella pneumoniae e233,S
573.43208,Klebsiella pneumoniae strain Kp_HUCA_Bac_13,S
573.52537,Klebsiella pneumoniae YZ-32-5,S
573.39633,Klebsiella pneumoniae strain K404,S
573.13715,Klebsiella pneumoniae KPN1852ec,R
573.69485,Klebsiella pneumoniae MRSN824884,S
573.69507,Klebsiella pneumoniae MRSN613433,S
573.46610,Klebsiella pneumoniae 451,R
573.46222,Klebsiella pneumoniae 2485STDY5438248,S
573.47364,Klebsiella pneumoniae CNR20140475_S1,S
573.50968,Klebsiella pneumoniae p3-SID703,S
573.62417,Klebsiella pneumoniae INSA56947,S
573.51962,Klebsiella pneumoniae PEkp050,R
