genome_id,genome_name,label
573.23123,Klebsiella pneumoniae strain PN84,S
573.45776,Klebsiella pneumoniae BEX02-324MHEMOC,S
573.52424,Klebsiella pneumoniae KP1804 R3,R
573.62410,Klebsiella pneumoniae INSA58378,R
573.25854,Klebsiella pneumoniae strain SIKP097,R
573.68174,Klebsiella pneumoniae CDK3401,S
573.30816,Klebsiella pneumoniae strain C2414,R
573.18508,Klebsiella pneumoniae strain WUSM_KP_75,S
573.23993,Klebsiella pneumoniae strain 26,S
573.7030,Klebsiella pneumoniae strain AR_0034,S
573.69451,Klebsiella pneumoniae MRSN109962,S
573.66620,Klebsiella pneumoniae KP_NORM_BLD_113865,S
573.13383,Klebsiella pneumoniae KPN1441ec,S
573.20815,Klebsiella pneumoniae strain EuSCAPE_RO086,S
573.62450,Klebsiella pneumoniae INSA55751,S
573.43486,Klebsiella pneumoniae strain 147,S
573.72918,Klebsiella pneumoniae 17200,R
573.25917,Klebsiella pneumoniae strain KP7CR strain not applicable,S
573.50012,Klebsiella pneumoniae K200010,S
573.66103,Klebsiella pneumoniae ERR1811833,S
573.79088,Klebsiella pneumoniae BG5125,S
573.21344,Klebsiella pneumoniae strain EuSCAPE_PL057,R
573.14888,Klebsiella pneumoniae strain L527,R
573.33141,Klebsiella pneumoniae strain KP0162,R
573.20790,Klebsiella pneumoniae strain EuSCAPE_RO057,S
573.42410,Klebsiella pneumoniae strain Prospectively collected (P) strain Prospectively collected (P) strain Prospectively collected (P),S
573.14037,Klebsiella pneumoniae KPN302ec,S
573.13251,Klebsiella pneumoniae KPN1272ec,R
573.24039,Klebsiella pneumoniae strain 98,S
573.55242,Klebsiella pneumoniae 29,S
573.50998,Klebsiella pneumoniae KFMC_KP210,R
573.40343,Klebsiella pneumoniae strain P30-71,S
573.23144,Klebsiella pneumoniae strain 4/1-2,S
573.13640,Klebsiella pneumoniae KPN1741ec,R
573.20508,Klebsiella pneumoniae strain EuSCAPE_GR043,S
573.46131,Klebsiella pneumoniae PBIO1930,S
573.62482,Klebsiella pneumoniae N4_214_024G1_dasN4_214_024G1_concoct_4,S
573.27477,Klebsiella pneumoniae strain 167D3,R
573.5765,Klebsiella pneumoniae strain 22_GR_12,R
573.18551,Klebsiella pneumoniae strain Kp36_FII,S
573.14325,Klebsiella pneumoniae KPN696ec,S
573.67417,Klebsiella pneumoniae MGL_152,R
573.17916,Klebsiella pneumoniae strain B32205,R
573.19867,Klebsiella pneumoniae strain BC_1421,R
573.77763,Klebsiella pneumoniae KP-406184,R
573.24135,Klebsiella pneumoniae strain MUGSI_45,R
573.50172,Klebsiella pneumoniae 125,S
573.58999,Klebsiella pneumoniae KP5,R
573.14111,Klebsiella pneumoniae KPN388ec,S
573.46151,Klebsiella pneumoniae PBIO1997,S
573.56197,Klebsiella pneumoniae P14-1,S
573.55333,Klebsiella pneumoniae 17_P1_7,S
573.30007,Klebsiella pneumoniae strain Kpngiani7132533,R
573.14258,Klebsiella pneumoniae KPN584ec,S
573.46000,Klebsiella pneumoniae K210055,R
573.14330,Klebsiella pneumoniae KPN702ec,R
573.72997,Klebsiella pneumoniae 8427_U417,S
573.20084,Klebsiella pneumoniae strain KpPD,S
573.69473,Klebsiella pneumoniae MRSN918589,S
573.20927,Klebsiella pneumoniae strain EuSCAPE_RS086,R
573.36169,Klebsiella pneumoniae strain XZ303-1,S
573.41949,Klebsiella pneumoniae strain MRSN680172,S
573.46169,Klebsiella pneumoniae PBIO1999,S
573.49925,Klebsiella pneumoniae Kp130,S
573.68311,Klebsiella pneumoniae KpLESPA_144,S
573.54245,Klebsiella pneumoniae ID_0890_21,R
573.52308,Klebsiella pneumoniae D48,S
573.29553,Klebsiella pneumoniae strain A3,S
573.50766,Klebsiella pneumoniae KP1027,R
573.40400,Klebsiella pneumoniae strain MRSN499958,S
573.15597,Klebsiella pneumoniae strain INF312,S
573.65487,Klebsiella pneumoniae MGL_K-8,S
573.55062,Klebsiella pneumoniae SCCH114:Kpn2161584,S
573.14938,Klebsiella pneumoniae strain SCPM-O-B-8044 (KPB-1617/16),S
573.14017,Klebsiella pneumoniae KPN279ec,S
573.34012,Klebsiella pneumoniae strain UPMP1793,S
573.32096,Klebsiella pneumoniae strain BS76R-1-B,S
573.66094,Klebsiella pneumoniae JBEHABI-19-0145,S
573.34027,Klebsiella pneumoniae strain HD2,S
573.65509,Klebsiella pneumoniae MGL_89_B5,S
573.14808,Klebsiella pneumoniae strain 30,R
573.13682,Klebsiella pneumoniae KPN178ec,S
573.30969,Klebsiella pneumoniae strain 2307,S
573.27396,Klebsiella pneumoniae strain P008E M1,S
573.50250,Klebsiella pneumoniae C1731,R
573.25805,Klebsiella pneumoniae strain Y17 ramR,R
573.48089,Klebsiella pneumoniae 16-427,S
573.20457,Klebsiella pneumoniae strain EuSCAPE_GR032,R
573.46216,Klebsiella pneumoniae 2485STDY5438240,S
573.29919,Klebsiella pneumoniae strain Kpngiani7132627,R
573.16425,Klebsiella pneumoniae strain LKP817909,S
573.54682,Klebsiella pneumoniae KP174,R
573.50821,Klebsiella pneumoniae Kp77RR,R
573.12954,Klebsiella pneumoniae 3210,S
573.78949,Klebsiella pneumoniae KH62,S
573.33217,Klebsiella pneumoniae strain KP0038,R
573.42087,Klebsiella pneumoniae strain KP14,S
573.13809,Klebsiella pneumoniae KPN1973ec,S
573.18067,Klebsiella pneumoniae strain MH15-289M,R
573.52686,Klebsiella pneumoniae 813_21,S
573.29947,Klebsiella pneumoniae strain Kpngiani7132496,R
573.20277,Klebsiella pneumoniae strain 4300STDY6542376,S
573.49462,Klebsiella pneumoniae 21072928,R
573.40989,Klebsiella pneumoniae strain K54_1,S
573.66859,Klebsiella pneumoniae KP_NORM_BLD_2009_61037,S
573.13897,Klebsiella pneumoniae KPN2075ec,S
573.20745,Klebsiella pneumoniae strain EuSCAPE_LU006,R
573.57043,Klebsiella pneumoniae 790,R
573.24017,Klebsiella pneumoniae strain 396,S
573.20021,Klebsiella pneumoniae strain KZ00369997,S
573.57229,Klebsiella pneumoniae 2018C06-162,R
573.58945,Klebsiella pneumoniae K58,S
573.66503,Klebsiella pneumoniae 27261_8#170,S
573.18127,Klebsiella pneumoniae strain ITU4077,S
573.32390,Klebsiella pneumoniae strain ZS15,R
573.18484,Klebsiella pneumoniae strain SCPM-O-B-8390,S
573.77815,Klebsiella pneumoniae LE-31,R
573.15286,Klebsiella pneumoniae strain UBA7514,S
573.35032,Klebsiella pneumoniae strain EKP3,R
573.18534,Klebsiella pneumoniae strain WUSM_KP_81,S
573.65992,Klebsiella pneumoniae JBCGAAG-19-0202,S
573.13793,Klebsiella pneumoniae KPN1946ec,R
573.24413,Klebsiella pneumoniae strain MUGSI_45,R
573.51839,Klebsiella pneumoniae FK6923,S
573.13747,Klebsiella pneumoniae KPN1883ec,S
